n_cities,density,alpha,beta,time_to_run
10,0.2,0.0,0.5,0.0000
10,0.2,0.0,1,0.0142
10,0.2,0.0,2,0.0026
10,0.2,0.0,4,0.0046
10,0.2,1.0,0.5,0.0005
10,0.2,1.0,1,0.0092
10,0.2,1.0,2,0.0068
10,0.2,1.0,4,0.0041
10,0.2,2.0,0.5,0.0053
10,0.2,2.0,1,0.0044
10,0.2,2.0,2,0.0066
10,0.2,2.0,4,0.0010
10,0.2,4.0,0.5,0.0052
10,0.2,4.0,1,0.0051
10,0.2,4.0,2,0.0060
10,0.2,4.0,4,0.0069
10,0.5,0.0,0.5,0.0040
10,0.5,0.0,1,0.0156
10,0.5,0.0,2,0.0134
10,0.5,0.0,4,0.0103
10,0.5,1.0,0.5,0.0084
10,0.5,1.0,1,0.0056
10,0.5,1.0,2,0.0054
10,0.5,1.0,4,0.0069
10,0.5,2.0,0.5,0.0052
10,0.5,2.0,1,0.0044
10,0.5,2.0,2,0.0081
10,0.5,2.0,4,0.0068
10,0.5,4.0,0.5,0.0051
10,0.5,4.0,1,0.0055
10,0.5,4.0,2,0.0068
10,0.5,4.0,4,0.0068
10,1.0,0.0,0.5,0.0048
10,1.0,0.0,1,0.0053
10,1.0,0.0,2,0.0030
10,1.0,0.0,4,0.0079
10,1.0,1.0,0.5,0.0056
10,1.0,1.0,1,0.0055
10,1.0,1.0,2,0.0079
10,1.0,1.0,4,0.0059
10,1.0,2.0,0.5,0.0054
10,1.0,2.0,1,0.0069
10,1.0,2.0,2,0.0073
10,1.0,2.0,4,0.0069
10,1.0,4.0,0.5,0.0062
10,1.0,4.0,1,0.0062
10,1.0,4.0,2,0.0074
10,1.0,4.0,4,0.0077
50,0.2,0.0,0.5,0.0492
50,0.2,0.0,1,0.0623
50,0.2,0.0,2,0.0555
50,0.2,0.0,4,0.0653
50,0.2,1.0,0.5,0.0624
50,0.2,1.0,1,0.0633
50,0.2,1.0,2,0.0568
50,0.2,1.0,4,0.0809
50,0.2,2.0,0.5,0.0634
50,0.2,2.0,1,0.0488
50,0.2,2.0,2,0.0825
50,0.2,2.0,4,0.0752
50,0.2,4.0,0.5,0.0635
50,0.2,4.0,1,0.0621
50,0.2,4.0,2,0.0769
50,0.2,4.0,4,0.0756
50,0.5,0.0,0.5,0.1130
50,0.5,0.0,1,0.1019
50,0.5,0.0,2,0.1014
50,0.5,0.0,4,0.1020
50,0.5,1.0,0.5,0.1061
50,0.5,1.0,1,0.1065
50,0.5,1.0,2,0.1103
50,0.5,1.0,4,0.1171
50,0.5,2.0,0.5,0.1058
50,0.5,2.0,1,0.1121
50,0.5,2.0,2,0.1113
50,0.5,2.0,4,0.1134
50,0.5,4.0,0.5,0.1046
50,0.5,4.0,1,0.1074
50,0.5,4.0,2,0.1063
50,0.5,4.0,4,0.1211
50,1.0,0.0,0.5,0.1695
50,1.0,0.0,1,0.1799
50,1.0,0.0,2,0.1597
50,1.0,0.0,4,0.1874
50,1.0,1.0,0.5,0.1710
50,1.0,1.0,1,0.1732
50,1.0,1.0,2,0.1799
50,1.0,1.0,4,0.2033
50,1.0,2.0,0.5,0.1637
50,1.0,2.0,1,0.1935
50,1.0,2.0,2,0.1941
50,1.0,2.0,4,0.2010
50,1.0,4.0,0.5,0.1779
50,1.0,4.0,1,0.1671
50,1.0,4.0,2,0.1877
50,1.0,4.0,4,0.1964
100,0.2,0.0,0.5,10.6164
100,0.2,0.0,1,17.1427
100,0.2,0.0,2,18.0946
100,0.2,0.0,4,19.4550
100,0.2,1.0,0.5,41.1500
100,0.2,1.0,1,93.8106
100,0.2,1.0,2,181.5849
100,0.2,1.0,4,348.0073
100,0.2,2.0,0.5,35.9767
100,0.2,2.0,1,90.5338
100,0.2,2.0,2,187.5068
100,0.2,2.0,4,294.6662
100,0.2,4.0,0.5,50.3138
100,0.2,4.0,1,102.7523
100,0.2,4.0,2,185.7009
100,0.2,4.0,4,100.1785
100,0.5,0.0,0.5,5.0939
100,0.5,0.0,1,5.2039
100,0.5,0.0,2,5.2441
100,0.5,0.0,4,5.7155
100,0.5,1.0,0.5,11.9625
100,0.5,1.0,1,30.8372
100,0.5,1.0,2,53.6377
100,0.5,1.0,4,92.3999
100,0.5,2.0,0.5,11.0672
100,0.5,2.0,1,29.6313
100,0.5,2.0,2,52.4286
100,0.5,2.0,4,95.0300
100,0.5,4.0,0.5,11.2793
100,0.5,4.0,1,29.5016
100,0.5,4.0,2,52.4754
100,0.5,4.0,4,91.5406
100,1.0,0.0,0.5,6.1181
100,1.0,0.0,1,6.2597
100,1.0,0.0,2,6.2559
100,1.0,0.0,4,6.2684
100,1.0,1.0,0.5,11.2675
100,1.0,1.0,1,29.6539
100,1.0,1.0,2,50.3615
100,1.0,1.0,4,94.3071
100,1.0,2.0,0.5,11.6118
100,1.0,2.0,1,30.5191
100,1.0,2.0,2,50.7469
100,1.0,2.0,4,93.1813
100,1.0,4.0,0.5,11.8962
100,1.0,4.0,1,32.5260
100,1.0,4.0,2,50.6841
100,1.0,4.0,4,91.0430
